Year,Area,Site,meansst,sesst,meannpp,senpp,meanorbv,seorbv,meanwh,sewh,meanws,sews
2012,Ano Nuevo,MPA,13.32251186,0.156397181,1896.83629,121.1924984,297.0304264,20.26381613,1.520876101,0.037745882,NA,NA
2012,Ano Nuevo,REF,13.24824049,0.179682206,1893.972435,131.7933315,270.5433578,17.29050397,1.527191408,0.034797859,NA,NA
2012,Point Lobos,MPA,13.45334552,0.174606619,2167.578994,492.5258635,306.7902478,28.7513869,1.675103064,0.047051764,NA,NA
2012,Point Lobos,REF,13.63588809,0.147457788,3327.791034,466.7895213,326.2318873,25.85928977,1.724388394,0.0428794,NA,NA
2012,Piedras Blancas,MPA,14.07283063,0.077025249,1728.763554,73.077306,303.8162547,13.72704359,1.646425058,0.023068714,NA,NA
2012,Piedras Blancas,REF,14.02017934,0.079988696,1970.247234,98.18490792,130.9726657,6.415390709,1.148162778,0.013967599,NA,NA
2012,Point Buchon,MPA,14.91186107,0.126885883,2393.271377,292.945622,254.2846275,20.700144,1.5704665,0.041344126,NA,NA
2012,Point Buchon,REF,14.77777967,0.105295084,2138.271848,94.9807268,260.4022274,18.46226232,1.609922255,0.035367605,NA,NA
2013,Ano Nuevo,MPA,13.60008393,0.145803612,2889.608411,123.7507311,177.4956593,7.910355795,1.326343221,0.026093855,11.6262135,0.284670062
2013,Ano Nuevo,REF,13.75890615,0.22850832,3614.789697,214.6978531,170.0194596,6.661465223,1.35632385,0.02508749,12.49241853,0.308820821
2013,Point Lobos,MPA,13.92419094,0.334617651,1923.876545,155.4515754,211.5538836,11.7132148,1.450272118,0.038111666,12.11472627,0.312351427
2013,Point Lobos,REF,14.20517243,0.27273859,3547.369233,640.1575939,211.6196808,10.74008576,1.478094304,0.031380899,11.77092537,0.222419789
2013,Piedras Blancas,MPA,14.18793472,0.067509046,2940.373515,62.33138368,228.9932058,7.454221794,1.511110151,0.021364987,14.41228276,0.146293526
2013,Piedras Blancas,REF,13.82967357,0.050989796,3214.240745,66.04454022,87.07538554,2.551435343,1.025726803,0.011494853,13.21444408,0.142903673
2013,Point Buchon,MPA,14.86780407,0.108857625,2358.32292,112.9226559,207.6738325,13.30218701,1.419194109,0.035763554,12.58142305,0.33295397
2013,Point Buchon,REF,14.79108376,0.078587262,2789.12722,103.2924971,212.1151309,9.247466633,1.462213677,0.030927174,12.56760229,0.345596962
2014,Ano Nuevo,MPA,16.01835578,0.063565907,2243.479106,114.1402485,243.1163334,14.76758128,1.482968029,0.034373888,11.50482605,0.254929427
2014,Ano Nuevo,REF,15.64486266,0.08038848,2615.240765,199.7105635,221.0291348,12.60611627,1.498612317,0.032078081,12.5482745,0.252606146
2014,Point Lobos,MPA,16.72989843,0.117500531,1803.404936,164.4400368,224.8753917,18.59114087,1.558871289,0.044336888,13.06618612,0.387561518
2014,Point Lobos,REF,16.19450618,0.155292554,2022.334988,255.5553658,242.5890484,17.65320997,1.603376197,0.038203503,12.30625306,0.322968828
2014,Piedras Blancas,MPA,16.75302328,0.058851051,2009.288644,72.53504337,270.3861489,12.27854557,1.581021101,0.022209655,14.34955265,0.116362981
2014,Piedras Blancas,REF,16.59497606,0.068363189,1956.928175,62.85526873,134.0865998,7.849892086,1.118539766,0.013672132,13.78221001,0.118904774
